160503,LORETO,REQUENA,CAPELO,119812,FLOR DE PUNGA,-74.15783618000,-5.40483938000
101105,HUANUCO,YAROWILCA,JACAS CHICO,125535,SAN CRISTOBAL DE JACAS CHICO,-76.50317305000,-9.88625092000
100803,HUANUCO,PACHITEA,MOLINO,114592,MOLINO,-76.01643782000,-9.91021410000
101108,HUANUCO,YAROWILCA,CHORAS,133148,CHORAS,-76.60585288000,-9.91001797000
101103,HUANUCO,YAROWILCA,CHACABAMBA,250712,CHACABAMBA,-76.61100208000,-9.90085169000
021104,ANCASH,HUARMEY,HUAYAN,131889,HUAYAN,-77.70810145000,-9.87509522000
100311,HUANUCO,DOS DE MAYO,MARIAS,114380,MARIAS,-76.70653240000,-9.60712401000
100804,HUANUCO,PACHITEA,UMARI,114871,TAMBILLO,-76.04451854000,-9.86380497000
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),552572,HUANCAPALLAC,-76.39209314000,-9.90475157000
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,128282,SANTA MARIA DEL VALLE,-76.16995393000,-9.86271221000
020508,ANCASH,BOLOGNESI,HUALLANCA,124495,HUALLANCA,-76.94164360000,-9.89931604000
101102,HUANUCO,YAROWILCA,CAHUAC,128314,CAHUAC,-76.63067298000,-9.85273011000
190308,PASCO,OXAPAMPA,CONSTITUCION,124332,CONSTITUCION / CIUDAD CONSTITUCION,-75.01737381000,-9.85719725000
020205,ANCASH,AIJA,SUCCHA,123699,SUCCHA,-77.65001022000,-9.82333239000
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,242277,PUEBLO NUEVO,-76.06332123000,-9.07815774000
020202,ANCASH,AIJA,CORIS,117252,CORIS,-77.71913083000,-9.82049994000
020103,ANCASH,HUARAZ,COLCABAMBA,131357,COLCABAMBA,-77.80881123000,-9.59474921000
101104,HUANUCO,YAROWILCA,APARICIO POMARES,124279,CHUPAN,-76.64826913000,-9.74782989000
021206,ANCASH,HUAYLAS,PAMPAROMAS,115423,PAMPAROMAS,-77.98144291000,-9.07273349000
100506,HUANUCO,HUAMALIES,MIRAFLORES,126795,MIRAFLORES,-76.81859052000,-9.49432258000
020204,ANCASH,AIJA,LA MERCED,130853,LA MERCED,-77.61656130000,-9.73534146000
020102,ANCASH,HUARAZ,COCHABAMBA,128944,COCHABAMBA,-77.85948633000,-9.49484503000
100905,HUANUCO,PUERTO INCA,YUYAPICHIS,114526,YUYAPICHIS,-74.97467506000,-9.62780809000
100321,HUANUCO,DOS DE MAYO,SHUNQUI,124543,SHUNQUI,-76.78331229000,-9.73117942000
100313,HUANUCO,DOS DE MAYO,PACHAS,124083,PACHAS,-76.77138691000,-9.70689508000
100307,HUANUCO,DOS DE MAYO,CHUQUIS,118306,CHUQUIS,-76.70524612000,-9.67675479000
020104,ANCASH,HUARAZ,HUANCHAY,128076,HUANCHAY,-77.81854439000,-9.72361572000
100509,HUANUCO,HUAMALIES,PU├æOS,113300,PU├æOS,-76.88404075000,-9.50044719000
100323,HUANUCO,DOS DE MAYO,YANAS,111234,YANAS,-76.75008966000,-9.71445144000
020110,ANCASH,HUARAZ,PARIACOTO,126558,PARIACOTO,-77.89036301000,-9.55903900000
020802,ANCASH,CASMA,BUENA VISTA ALTA,120678,BUENA VISTA ALTA,-78.20647344000,-9.43223382000
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,130513,CODO DEL POZUZO,-75.46293053000,-9.66991091000
020108,ANCASH,HUARAZ,OLLEROS,128663,OLLEROS,-77.46663438000,-9.66698319000
100504,HUANUCO,HUAMALIES,JACAS GRANDE,121661,JACAS GRANDE,-76.73699145000,-9.53997969000
