100801,HUANUCO,PACHITEA,PANAO,125171,PANAO,-75.99429652000,-9.89747595000
101101,HUANUCO,YAROWILCA,CHAVINILLO,116284,CHAVINILLO,-76.60839481000,-9.85874366000
020801,ANCASH,CASMA,CASMA,113871,CASMA,-78.30544286000,-9.47607993000
100501,HUANUCO,HUAMALIES,LLATA,131829,LLATA,-76.81552786000,-9.54997196000
100901,HUANUCO,PUERTO INCA,PUERTO INCA,117685,PUERTO INCA,-74.96594262000,-9.37935836000
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,117672,TINGO MARIA,-76.00028442000,-9.29838119000
020601,ANCASH,CARHUAZ,CARHUAZ,116022,CARHUAZ,-77.64629654000,-9.28176454000
020401,ANCASH,ASUNCION,CHACAS,126722,CHACAS,-77.36604251100,-9.16209284900
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,124380,SAN LUIS,-77.32912977000,-9.09435746000
021801,ANCASH,SANTA,CHIMBOTE,117876,CHIMBOTE,-78.59357234000,-9.07454176000
021201,ANCASH,HUAYLAS,CARAZ,126528,CARAZ,-77.81006258000,-9.04858755000
100401,HUANUCO,HUACAYBAMBA,HUACAYBAMBA,125506,HUACAYBAMBA,-76.95261680000,-9.03786568000
250301,UCAYALI,PADRE ABAD,PADRE ABAD,116017,AGUAYTIA,-75.50862370000,-9.03687544000
021601,ANCASH,POMABAMBA,POMABAMBA,125809,POMABAMBA,-77.46025140000,-8.82053150000
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,114959,PISCOBAMBA,-77.35749107000,-8.86494660000
100701,HUANUCO,MARA├æON,HUACRACHUCO,113933,HUACRACHUCO,-77.14935042000,-8.60439329000
020901,ANCASH,CORONGO,CORONGO,128843,CORONGO,-77.89804083000,-8.57042256000
021901,ANCASH,SIHUAS,SIHUAS,121257,SIHUAS,-77.63122060000,-8.55458704000
131201,LA LIBERTAD,VIRU,VIRU,112489,VIRU,-78.75222202000,-8.41427715000
021501,ANCASH,PALLASCA,CABANA,536515,CABANA,-78.00901572000,-8.39290941000
210501,PUNO,EL COLLAO,ILAVE,127767,ILAVE,-69.63859877000,-16.08686592000
130801,LA LIBERTAD,PATAZ,TAYABAMBA,119200,TAYABAMBA,-77.29632102000,-8.27593502000
130501,LA LIBERTAD,JULCAN,JULCAN,550942,JULCAN,-78.48663451000,-8.04252890000
130201,LA LIBERTAD,ASCOPE,ASCOPE,112472,ASCOPE,-79.10751502000,-7.71379065000
220301,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,515725,SAN JOSE DE SISA,-76.69486503000,-6.61391390000
081201,CUSCO,QUISPICANCHI,URCOS,127259,URCOS,-71.62561322000,-13.68795506000
050301,AYACUCHO,HUANCA SANCOS,SANCOS,132377,HUANCA SANCOS,-74.33388289000,-13.91988366000
080201,CUSCO,ACOMAYO,ACOMAYO,116943,ACOMAYO,-71.68349439000,-13.91920265000
060201,CAJAMARCA,CAJABAMBA,CAJABAMBA,131163,CAJABAMBA,-78.04600251000,-7.62374351000
061001,CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,120077,SAN MARCOS,-78.17047055000,-7.33606865000
130401,LA LIBERTAD,CHEPEN,CHEPEN,119479,CHEPEN,-79.42963328000,-7.22728914000
130301,LA LIBERTAD,BOLIVAR,BOLIVAR,115761,BOLIVAR,-77.70263615000,-7.15387178000
061201,CAJAMARCA,SAN PABLO,SAN PABLO,117114,SAN PABLO,-78.82337069000,-7.11834136000
211201,PUNO,SANDIA,SANDIA,122494,SANDIA,-69.46661477000,-14.32301928000
210301,PUNO,CARABAYA,MACUSANI,131219,MACUSANI,-70.43135640000,-14.06845301000
080601,CUSCO,CANCHIS,SICUANI,122229,SICUANI,-71.22649914200,-14.27299112500
170201,MADRE DE DIOS,MANU,MANU,210017,SALVACION,-71.35890272000,-12.83618166000
010401,AMAZONAS,CONDORCANQUI,NIEVA,543243,SANTA MARIA DE NIEVA,-77.86447689000,-4.59234702000
080501,CUSCO,CANAS,YANAOCA,112789,YANAOCA,-71.43203327000,-14.21694329000
030401,APURIMAC,AYMARAES,CHALHUANCA,130422,CHALHUANCA,-73.24426751000,-14.29471191000
220201,SAN MARTIN,BELLAVISTA,BELLAVISTA,131835,BELLAVISTA,-76.58470096000,-7.06687120000
220701,SAN MARTIN,PICOTA,PICOTA,120327,PICOTA,-76.33030096000,-6.92064160000
